Gridworld_ID,Algorithm,Runtime_Seconds,Expanded_Nodes,Success
20,RepeatedBackwardsAStar,0.32106587500311434,6768,True
20,RepeatedForwardAStar,0.004396333999466151,375,True
21,AdaptiveAStar,2.614012959005777,130071,True
21,HigherG_RepeatedAStar,13.900489124993328,457953,True
21,LowerG_RepeatedAStar,4.75595500000054,457953,True
21,RepeatedBackwardsAStar,1.6577620829921216,91140,True
21,RepeatedForwardAStar,0.03572033398086205,3040,True
22,AdaptiveAStar,0.5149301660130732,14428,True
22,HigherG_RepeatedAStar,4.77348879200872,165867,True
22,LowerG_RepeatedAStar,2.369335957977455,165867,True
22,RepeatedBackwardsAStar,0.5449266659561545,20091,True
22,RepeatedForwardAStar,0.03511987498495728,3229,True
23,AdaptiveAStar,0.6311172919813544,19553,True
23,HigherG_RepeatedAStar,11.196760041988455,315916,True
23,LowerG_RepeatedAStar,3.802251542045269,315916,True
23,RepeatedBackwardsAStar,0.5910660000517964,14524,True
23,RepeatedForwardAStar,0.054729417024645954,4825,True
24,AdaptiveAStar,0.15376541600562632,3673,True
24,HigherG_RepeatedAStar,0.6157872920157388,16908,True
24,LowerG_RepeatedAStar,0.28890183300245553,16908,True
24,RepeatedBackwardsAStar,0.24912629200844094,10601,True
24,RepeatedForwardAStar,0.005975209001917392,535,True
25,AdaptiveAStar,0.33176137501141056,9036,True
25,HigherG_RepeatedAStar,2.3809471250278875,74455,True
25,LowerG_RepeatedAStar,0.9485792079940438,74455,True
25,RepeatedBackwardsAStar,0.5205882079899311,19908,True
25,RepeatedForwardAStar,0.02831725002033636,2573,True
26,AdaptiveAStar,0.022498708975035697,198,False
26,HigherG_RepeatedAStar,0.03794620797270909,667,False
26,LowerG_RepeatedAStar,0.026841417013201863,667,False
26,RepeatedBackwardsAStar,0.27260850003222004,18071,False
26,RepeatedForwardAStar,0.001939792011398822,195,False
27,AdaptiveAStar,0.39669954200508073,9309,True
27,HigherG_RepeatedAStar,1.0456390420440584,35256,True
27,LowerG_RepeatedAStar,0.5263164999778382,35256,True
27,RepeatedBackwardsAStar,0.3520778749953024,14734,True
27,RepeatedForwardAStar,0.008003082999493927,739,True
28,AdaptiveAStar,1.7124980840017088,76608,True
28,HigherG_RepeatedAStar,19.644657124998048,394014,True
28,LowerG_RepeatedAStar,4.260758332966361,394014,True
28,RepeatedBackwardsAStar,1.8155277090263553,128689,True
28,RepeatedForwardAStar,0.0441007090266794,3876,True
29,AdaptiveAStar,0.8488355420413427,33463,True
29,HigherG_RepeatedAStar,4.195612500014249,132734,True
29,LowerG_RepeatedAStar,1.6517905830405653,132734,True
29,RepeatedBackwardsAStar,0.8608329579583369,55133,True
29,RepeatedForwardAStar,0.015502375026699156,1387,True
30,AdaptiveAStar,0.0032178330002352595,15,True
30,HigherG_RepeatedAStar,0.01179499999852851,160,True
30,LowerG_RepeatedAStar,0.00993404199834913,160,True
30,RepeatedBackwardsAStar,0.00629245798336342,36,True
30,RepeatedForwardAStar,0.00025049998657777905,15,True
31,AdaptiveAStar,0.14015583303989843,11565,False
31,HigherG_RepeatedAStar,0.39765004097716883,13055,False
31,LowerG_RepeatedAStar,0.1686463329824619,13055,False
31,RepeatedBackwardsAStar,0.01856091700028628,135,False
31,RepeatedForwardAStar,0.0762596660060808,10385,False
32,AdaptiveAStar,0.5577515419572592,18417,True
32,HigherG_RepeatedAStar,4.14521170797525,83036,True
32,LowerG_RepeatedAStar,1.1449807080207393,83036,True
32,RepeatedBackwardsAStar,0.9575010830303654,57000,True
32,RepeatedForwardAStar,0.014174250012729317,1214,True
33,AdaptiveAStar,0.01130137505242601,163,False
33,HigherG_RepeatedAStar,0.10756658302852884,2564,False
33,LowerG_RepeatedAStar,0.03266933304257691,2564,False
33,RepeatedBackwardsAStar,1.3694845410063863,107829,False
33,RepeatedForwardAStar,0.0017776660388335586,163,False
34,AdaptiveAStar,0.1451336249592714,1709,True
34,HigherG_RepeatedAStar,0.11455200001364574,2466,True
34,LowerG_RepeatedAStar,0.07017774996347725,2466,True
34,RepeatedBackwardsAStar,0.06642533303238451,1457,True
34,RepeatedForwardAStar,0.003726291994098574,335,True
35,AdaptiveAStar,0.5783544169971719,22182,True
35,HigherG_RepeatedAStar,1.70499291701708,50588,True
35,LowerG_RepeatedAStar,0.7847004170180298,50588,True
35,RepeatedBackwardsAStar,0.6649642910342664,35957,True
35,RepeatedForwardAStar,0.009007749962620437,663,True
36,AdaptiveAStar,0.8785004169913009,20134,True
36,HigherG_RepeatedAStar,4.829571834008675,105306,True
36,LowerG_RepeatedAStar,1.371881790983025,105306,True
36,RepeatedBackwardsAStar,1.2084176669595763,66784,True
36,RepeatedForwardAStar,0.024329749983735383,2078,True
37,AdaptiveAStar,0.6209000420058146,26002,True
37,HigherG_RepeatedAStar,1.979531292046886,53380,True
37,LowerG_RepeatedAStar,0.7935083340271376,53380,True
37,RepeatedBackwardsAStar,0.7783975839847699,54798,True
37,RepeatedForwardAStar,0.03082062501925975,3123,True
38,AdaptiveAStar,0.01922625000588596,123,True
38,HigherG_RepeatedAStar,0.020713375008199364,260,True
38,LowerG_RepeatedAStar,0.017461709037888795,260,True
38,RepeatedBackwardsAStar,0.018796666990965605,102,True
38,RepeatedForwardAStar,0.0006467079510912299,58,True
39,AdaptiveAStar,0.033854042005259544,322,True
39,HigherG_RepeatedAStar,0.08235083398176357,1892,True
39,LowerG_RepeatedAStar,0.055615332967136055,1892,True
39,RepeatedBackwardsAStar,0.04356733302120119,392,True
39,RepeatedForwardAStar,0.002818249980919063,286,True
40,AdaptiveAStar,0.015324082982260734,66,True
40,HigherG_RepeatedAStar,0.010527750011533499,80,True
40,LowerG_RepeatedAStar,0.009479333006311208,80,True
40,RepeatedBackwardsAStar,0.0072591660427860916,24,True
40,RepeatedForwardAStar,0.00048745801905170083,46,True
41,AdaptiveAStar,0.2057447499828413,5238,True
41,HigherG_RepeatedAStar,0.5948869159910828,15455,True
41,LowerG_RepeatedAStar,0.3193194160121493,15455,True
41,RepeatedBackwardsAStar,0.2241207500337623,9764,True
41,RepeatedForwardAStar,0.014346790965646505,1515,True
42,AdaptiveAStar,2.0575679590110667,106707,True
42,HigherG_RepeatedAStar,7.100302959035616,240171,True
42,LowerG_RepeatedAStar,2.658924958028365,240171,True
42,RepeatedBackwardsAStar,1.8492091670050286,133413,True
42,RepeatedForwardAStar,0.022942167008295655,2008,True
43,AdaptiveAStar,0.572433833964169,21472,True
43,HigherG_RepeatedAStar,1.8838358329958282,53241,True
43,LowerG_RepeatedAStar,0.7803007920156233,53241,True
43,RepeatedBackwardsAStar,1.2864942909800448,109538,True
43,RepeatedForwardAStar,0.04040670802351087,4441,True
44,AdaptiveAStar,0.4679679170367308,17680,True
44,HigherG_RepeatedAStar,1.508036000013817,44006,True
44,LowerG_RepeatedAStar,0.6101401249761693,44006,True
44,RepeatedBackwardsAStar,0.7863898749928921,53247,True
44,RepeatedForwardAStar,0.008923624991439283,753,True
45,AdaptiveAStar,0.1742134999949485,4227,True
45,HigherG_RepeatedAStar,0.21019087499007583,5376,True
45,LowerG_RepeatedAStar,0.17071812495123595,5376,True
45,RepeatedBackwardsAStar,0.07808204204775393,1668,True
45,RepeatedForwardAStar,0.00530683301622048,557,True
46,AdaptiveAStar,0.17030937504023314,3875,True
46,HigherG_RepeatedAStar,1.24418608302949,40073,True
46,LowerG_RepeatedAStar,0.4940909589640796,40073,True
46,RepeatedBackwardsAStar,0.11702449998119846,2189,True
46,RepeatedForwardAStar,0.008321833040099591,710,True
47,AdaptiveAStar,0.6565467090113088,28092,True
47,HigherG_RepeatedAStar,6.481793667015154,215254,True
47,LowerG_RepeatedAStar,2.5290705420193262,215254,True
47,RepeatedBackwardsAStar,1.1421250000130385,62523,True
47,RepeatedForwardAStar,0.0386611670255661,3535,True
